domaine,subDomine,label,altLabels
Culture,History,North American history,
Culture,Leisure,Olympic Games,
Social and human sciences,Psychology,Personality development,
"Politics, law and economics",Politics and government,Feudalism,
Science,Geography and oceanography,Chemical oceanography,Marine chemistry
"Politics, law and economics",International relations,International security,Collective security
Education,Educational administration,School supervision,School inspection
Science,Biology,Biophysics,"Biomechanics, Human biophysics"
Education,Educational sciences and environment,School rewards,
Culture,Culture,Culture of poverty,
Social and human sciences,Population,Birth rate,Natality
Science,Hydrology,Ecohydrology,
Science,Hydrology,Saline water,Salt water
Culture,History,Egyptology,
Science,Natural sciences,Plant genetics,"Plant breeding, Plant reproduction"
Information and communication,Documentary information systems,National libraries,
Countries and country groupings,Africa,Ghana,
"Politics, law and economics",Politics and government,Conscientious objection,
Science,Physical sciences,Heat transfer,
Education,Educational systems and levels,Mobile educational services,"Mobile classrooms, Mobile schools"
Science,Science and research management,Research and development,"Industrial research, R & D, Research and experimental development"
Science,Scientific approach,Quality control,
Education,Educational facilities,Educational television,
"Politics, law and economics",Organization and management,Optimization,
Information and communication,Information technology (hardware),Computers,"Calculating machines, Computer hardware"
Information and communication,Information industry,News agencies,News services
Education,Basic and general study subjects,Literacy,
"Politics, law and economics",Legal systems,Lawyers,"Advocates, Judges"
"Politics, law and economics",Agriculture,Fisheries,Fishery management
"Politics, law and economics",Materials and products,Poultry,
Culture,Linguistics,Language barriers,
"Politics, law and economics",Legal systems,Law reform,
Education,Educational facilities,Academic buildings,"College buildings, University buildings"
Science,Scientific approach,Cause and effect,
Culture,Linguistics,International auxiliary lingua,
Culture,Art,Film makers,"Film directors, Film producers"
Science,Space sciences,Cosmic matter,Interstellar matter
Education,Basic and general study subjects,Mathematics education,
Education,Technical and vocational study subjects,Archive education,Archive training
Education,Technical and vocational study subjects,Marine education,Oceanography education
Science,Mathematics and statistics,Statistical analysis,
Science,Mathematics and statistics,Functional analysis,
"Politics, law and economics",Services,Civil aviation,
Information and communication,Information technology (software),Data collection,"Data acquisition, Data compilation"
"Politics, law and economics",Agriculture,Agricultural economics,
"Politics, law and economics",International relations,Foreign aid,
"Politics, law and economics",Personnel management,Manual workers,Blue collar workers
Information and communication,Information management,Information/library management,Library management
"Politics, law and economics",Politics and government,Anarchism,Nihilism
Science,"Pollution, disasters and safety",Industrial pollution,Chemical pollution
Culture,Leisure,Sport,"Football, Games (sport)"
Social and human sciences,Social systems,Elite,
Culture,Visual arts,Drawing,
Social and human sciences,Social problems,Malnutrition,
Culture,Religion,Cults,
Education,Teaching and training,Study tours,Educational travel abroad
Science,Chemical sciences,Ozone,
Culture,Performing arts,Ballet,Classical ballet
Countries and country groupings,Europe,Slovenia,
"Politics, law and economics",Human rights,Womens status,
Science,Physical sciences,Thermodynamics,
"Politics, law and economics",Organization and management,Private organizations,
Culture,Literature,Biographies,
Science,Pathology,Psychopathology,
Countries and country groupings,Asia and the Pacific,Hawaii,
Culture,Cultural policy and planning,Industrial heritage,
Information and communication,Information technology (hardware),Computer interfaces,Computer links
Culture,Philosophy and ethics,Structure of knowledge,Classification of knowledge
Information and communication,Information technology (hardware),Antennas,
Countries and country groupings,Africa,Eswatini,Swaziland
"Politics, law and economics",Economics,Market economy,Capitalist systems
Science,Earth sciences,Palaeoclimatology,Paleoclimatology
Culture,Leisure,Sports competitions,
"Politics, law and economics",Organization and management,Organizations,Institutions
Information and communication,Documentary information processing,Records appraisal,Selective retention
Education,Technical and vocational study subjects,Higher science education,
Countries and country groupings,Ethnic and religious groupings,Arab States,Arab countries
"Politics, law and economics","Civil, military and mining engineering",Coal mining,
